"school","id_code","county","district","type","total","amind","asian","black","hisp","mult","white","econdis","ell","swd"
"SUCCESS ACAD CHARTER SCH-UPPER WEST","310300861008","NEW YORK","NEW YORK CITY GEOGRAPHIC DISTRICT #03","CHARTER",907,0.0452039691289967,0.122381477398015,0.195148842337376,0.378169790518192,0.0352811466372657,0.223814773980154,0.472987872105843,0,0.162072767364939
"SUCCESS ACAD CHARTER SCHOOL-HARLEM 5","310500860979","NEW YORK","NEW YORK CITY GEOGRAPHIC DISTRICT #05","CHARTER",852,0.00821596244131455,0.0152582159624413,0.612676056338028,0.323943661971831,0.0176056338028169,0.0223004694835681,0.799295774647887,0,0.157276995305164
"SUCCESS ACADEMY CHARTER-BED STUY 1","331400861007","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #14","CHARTER",752,0.00930851063829787,0.0279255319148936,0.631648936170213,0.287234042553192,0.0159574468085106,0.0279255319148936,0.715425531914894,0,0.18218085106383
"SUCCESS ACADEMY CHARTER-BED STUY 2","331400861022","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #14","CHARTER",288,0.0243055555555556,0.03125,0.600694444444444,0.274305555555556,0.0486111111111111,0.0208333333333333,0.725694444444444,0,0.1875
"SUCCESS ACADEMY CHARTER-BRONX 1","320700860981","BRONX","NEW YORK CITY GEOGRAPHIC DISTRICT #07","CHARTER",641,0.0218408736349454,0.0218408736349454,0.530421216848674,0.407176287051482,0.0078003120124805,0.0109204368174727,0.856474258970359,0,0.187207488299532
"SUCCESS ACADEMY CHARTER-BRONX 2","320900860980","BRONX","NEW YORK CITY GEOGRAPHIC DISTRICT #09","CHARTER",1035,0.00579710144927536,0.0106280193236715,0.593236714975845,0.376811594202899,0.00386473429951691,0.00966183574879227,0.790338164251208,0,0.156521739130435
"SUCCESS ACADEMY CHARTER-HARLEM 1","310300860897","NEW YORK","NEW YORK CITY GEOGRAPHIC DISTRICT #03","CHARTER",1404,0.0512820512820513,0.0106837606837607,0.623219373219373,0.277065527065527,0.00925925925925926,0.0284900284900285,0.721509971509972,0,0.13960113960114
"SUCCESS ACADEMY CHARTER-HARLEM 6","310500861088","NEW YORK","NEW YORK CITY GEOGRAPHIC DISTRICT #05","CHARTER",379,0.0079155672823219,0.0131926121372032,0.530343007915567,0.411609498680739,0.0105540897097625,0.0263852242744063,0.812664907651715,0,0.226912928759894
"SUCCESS ACADEMY CHARTER-HUDSON YARDS","310200861087","NEW YORK","NEW YORK CITY GEOGRAPHIC DISTRICT #02","CHARTER",412,0.00242718446601942,0.179611650485437,0.220873786407767,0.390776699029126,0.0266990291262136,0.179611650485437,0.514563106796116,0,0.201456310679612
"SUCCESS ACADEMY CS - BENSONHURST","332100861075","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #21","CHARTER",642,0,0.222741433021807,0.0778816199376947,0.0903426791277259,0.00934579439252336,0.599688473520249,0.507788161993769,0,0.14018691588785
"SUCCESS ACADEMY CS - BERGEN BEACH","332200861076","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #22","CHARTER",949,0.00948366701791359,0.0547945205479452,0.742887249736565,0.0674394099051633,0.0263435194942044,0.0990516332982086,0.557428872497366,0,0.114857744994731
"SUCCESS ACADEMY CS - BRONX 4","320800861074","BRONX","NEW YORK CITY GEOGRAPHIC DISTRICT #08","CHARTER",608,0.0230263157894737,0.0361842105263158,0.414473684210526,0.486842105263158,0.00657894736842105,0.0328947368421053,0.740131578947368,0,0.185855263157895
"SUCCESS ACADEMY CS - ROSEDALE","342900861077","QUEENS","NEW YORK CITY GEOGRAPHIC DISTRICT #29","CHARTER",763,0.0104849279161206,0.0222804718217562,0.872870249017038,0.0694626474442988,0.0144167758846658,0.0104849279161206,0.515072083879423,0,0.116644823066841
"SUCCESS ACADEMY CS - SPRINGFIELD","342900861078","QUEENS","NEW YORK CITY GEOGRAPHIC DISTRICT #29","CHARTER",930,0.0161290322580645,0.021505376344086,0.887096774193548,0.0505376344086022,0.0247311827956989,0,0.51505376344086,0,0.106451612903226
"SUCCESS ACADEMY CS - WASHINGTON HGTS","310600861073","NEW YORK","NEW YORK CITY GEOGRAPHIC DISTRICT #06","CHARTER",634,0.00315457413249211,0.0173501577287066,0.135646687697161,0.788643533123028,0.00946372239747634,0.0457413249211356,0.714511041009464,0,0.165615141955836
"SUCCESS ACADEMY CS-BED STUY 3","331600861095","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #16","CHARTER",158,0.0126582278481013,0.0316455696202532,0.525316455696203,0.278481012658228,0.0253164556962025,0.126582278481013,0.518987341772152,0,0.19620253164557
"SUCCESS ACADEMY CS-BUSHWICK","333200861096","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #32","CHARTER",522,0.00957854406130268,0.00957854406130268,0.176245210727969,0.739463601532567,0.0134099616858238,0.0517241379310345,0.762452107279693,0,0.137931034482759
"SUCCESS ACADEMY CS-COBBLE HILL","331500861023","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #15","CHARTER",442,0.0135746606334842,0.115384615384615,0.29185520361991,0.29185520361991,0.0520361990950226,0.235294117647059,0.490950226244344,0,0.15158371040724
"SUCCESS ACADEMY CS-FAR ROCKAWAY","342700861090","QUEENS","NEW YORK CITY GEOGRAPHIC DISTRICT #27","CHARTER",603,0.0116086235489221,0.0132669983416252,0.744610281923715,0.200663349917081,0.0149253731343284,0.0149253731343284,0.711442786069652,0,0.165837479270315
"SUCCESS ACADEMY CS-FLATBUSH","331700861094","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #17","CHARTER",587,0.00681431005110733,0.010221465076661,0.848381601362862,0.0732538330494037,0.0221465076660988,0.0391822827938671,0.68824531516184,0,0.137989778534923
"SUCCESS ACADEMY CS-SOUTH JAMAICA","342700861099","QUEENS","NEW YORK CITY GEOGRAPHIC DISTRICT #27","CHARTER",445,0.0651685393258427,0.182022471910112,0.570786516853933,0.148314606741573,0.00898876404494382,0.0247191011235955,0.624719101123596,0,0.157303370786517
"SUCCESS ACADEMY CS-WILLIAMSBURG","331400861024","KINGS","NEW YORK CITY GEOGRAPHIC DISTRICT #14","CHARTER",413,0.00484261501210654,0.0508474576271186,0.213075060532688,0.515738498789346,0.0774818401937046,0.138014527845036,0.62953995157385,0,0.188861985472155
